2021-11-30 10:22:23 [pool-2-thread-645] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 645 with 165 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-186] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 186 with 304 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-194] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 194 with 215 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-648] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 648 with 201 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-649] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 649 with 68 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-262] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 262 with 409 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-121] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 121 with 12 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-258] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 258 with 559 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-267] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 267 with 0 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-279] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 279 with 819 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-656] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 656 with 156 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-303] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 303 with 98 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-306] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 306 with 598 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-286] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 286 with 269 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-311] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 311 with 440 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-664] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 664 with 154 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-347] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 347 with 298 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-665] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 665 with 437 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-351] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 351 with 57 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-363] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 363 with 52 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-370] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 370 with 90 containers is in queue. Ship status - loading required.
